country,lat,long,confirmed,deaths,recovered,color
Greece,[39.0742],[21.8243],0.7035841370827532,0.13580425942642746,0.7408307574209757,"[0.7161505217677387, 0.08043380010429231, 0.7565472101934063, 0.9999999999999998]"
Grenada,[12.1165],[-61.679],0.2881504287738658,0.0,0.8816800328112385,"[0.3002393165058884, 0.02895539124724405, 0.8945206658741871, 0.9999999999999997]"
Guatemala,[15.7835],[-90.2308],0.7029890321614628,0.13457296896599627,0.9400861587381786,"[0.7167091101800698, 0.049977491316948446, 0.9415487434451034, 0.9999999999999998]"
Guinea,[9.9456],[-9.6966],0.566043181720314,0.022985815935360213,0.9665945787154652,"[0.5804381650984112, 0.030945639653986518, 0.9803908097124827, 0.9999999999999997]"
Guinea-Bissau,[11.8037],[-15.1804],0.46352419360117847,0.07134443797688154,0.9837282747055484,"[0.4838186681296027, 0.07030812993443392, 0.9445131529657241, 0.9999999999999998]"
Guyana,[4.860416],[-58.93018],0.5200289975364188,0.10001771211111325,0.947137098722595,"[0.5256650213274718, 0.06954829179412975, 0.9496833377615705, 0.9999999999999998]"
Haiti,[18.9712],[-72.2852],0.5470749470223417,0.09137274856647612,0.898714045007278,"[0.5529314360611085, 0.06384734847077081, 0.9185602046230437, 0.9999999999999998]"
Holy See,[41.9029],[12.4534],0.19789162600843616,0.0,0.6374299206152918,"[0.3307076924164667, 0.024856344095539187, 0.792977597563357, 0.9999999999999998]"
Honduras,[15.2],[-86.2419],0.6960890465630066,0.09980307611156959,0.551588557057166,"[0.6743141720600078, 0.09026582555864075, 0.5543271017739279, 0.9999999999999997]"
Hungary,[47.1625],[19.5033],0.7540303276358421,0.11573147473658303,0.588076920914402,"[0.6743141720600078, 0.09026582555864075, 0.5543271017739279, 0.9999999999999997]"
Iceland,[64.9631],[-19.0208],0.5141674010035051,0.01972237044111636,0.9777653806388116,"[0.5412276687399848, 0.052717212667751, 0.9636549507052019, 0.9999999999999998]"
India,"[11.225999, 15.9129, 27.768456, 26.357149, 25.679658, 30.733839, 21.264705, 20.194742, 28.646519, 15.359682, 22.694884, 29.20004, 31.927213, 33.75943, 23.654536, 14.70518, 10.450898, 34.1526, 13.6999972, 23.541513, 19.449759, 24.738975, 25.536934, 23.309381, 26.06702, 20.505428, 11.882658, 30.841465, 26.583423, 27.571671, 11.006091, 18.1124, 23.746783, nan, 26.925425, 30.156447, 23.814082]","[92.968178, 79.74, 96.384277, 92.830441, 85.60484, 76.768278, 82.035366, 73.080901, 77.10898, 74.057396, 71.590923, 76.332824, 77.233081, 76.612638, 85.557631, 76.166436, 76.405749, 77.5771, 72.1833326, 78.289633, 76.108221, 93.882541, 91.278882, 92.83822, 94.470302, 84.418059, 78.86498, 75.40879, 73.847973, 88.472712, 78.400624, 79.0193, 91.743565, nan, 80.560982, 79.197608, 87.979803]",0.9591084535215928,0.056377339857416484,0.9720155859212811,"[0.8443617084173919, 0.10028181730374226, 0.8894928230992203, 0.9999999999999997]"
Indonesia,[-0.7893],[113.9213],0.8040524948679411,0.11496007123246588,0.8676648315839945,"[0.8223211344506436, 0.10774568521144443, 0.8975286889741362, 0.9999999999999998]"
Iran,[32.427908],[53.688046],0.8331238989152492,0.17192671750565514,0.8572593615483752,"[0.7748864230650188, 0.1951826783368408, 0.877800535918051, 0.9999999999999997]"
Iraq,[33.223191],[43.679291],0.7898389960636311,0.08340513063780036,0.9316052126212682,"[0.7937047275759147, 0.08520853825115346, 0.9253527241771098, 0.9999999999999998]"
Ireland,[53.1424],[-7.6921],0.6818713937049271,0.09010608443871346,0.31156109308869123,"[0.706082070267397, 0.07555355755812851, 0.28442124534701324, 0.9999999999999997]"
Israel,[31.046051],[34.851612],0.7710079064652088,0.030486098748180916,0.9094593719008506,"[0.7474334360256587, 0.059687426348445406, 0.9005551813084387, 0.9999999999999998]"
Italy,"[42.35122196, 40.63947052, 38.90597598, 40.83956555, 44.49436681, 45.6494354, 41.89277044, 44.41149315, 45.46679409, 43.61675973, 41.55774754, 46.49933453, 46.06893511, 45.0732745, 41.12559576, 39.21531192, 38.11569725, 43.76923077, 43.10675841, 45.73750286, 45.43490485]","[13.39843823, 15.80514834, 16.59440194, 14.25084984, 11.3417208, 13.76813649, 12.48366722, 8.9326992, 9.190347404, 13.5188753, 14.65916051, 11.35662422, 11.12123097, 7.680687483, 16.86736689, 9.110616306, 13.3623567, 11.25588885, 12.38824698, 7.320149366, 12.33845213]",0.865685783461328,0.1350343413307623,0.7616903997892036,"[0.7545363461999706, 0.1052651796433862, 0.774016832934243, 0.9999999999999997]"
Jamaica,[18.1096],[-77.2975],0.5622497284680907,0.09086453240752382,0.8685641933901522,"[0.5610746230206656, 0.06465019724532929, 0.8623835892650369, 0.9999999999999998]"
Japan,"[35.035551, 39.748679, 40.781541, 35.510141, 33.624835, 35.846614, 33.526032, 37.378867, 35.778671, 36.504479, 34.605309, 43.385711, 35.039913, 36.303588, 36.769464, 39.593287, 34.217292, 31.009484, 35.415312, 33.422519, 32.608154, 35.253815, 34.508018, 38.446859, 32.193204, 36.132134, 33.235712, 34.317451, 37.521819, 33.200697, 34.89246, 25.768923, 34.620965, nan, 33.286977, 35.997101, 35.215827, 35.07076, 34.916975, 36.689912, 33.919178, 35.711343, 35.359069, 36.637464, nan, 33.911879, 38.448396, 34.20119, 35.612364]","[137.211621, 140.408228, 140.828896, 140.198917, 132.856842, 136.224654, 130.666949, 140.223295, 137.055925, 138.985605, 132.788719, 142.552318, 134.828057, 140.319591, 136.771027, 141.361777, 133.969047, 130.430665, 139.338983, 133.367307, 130.745231, 135.443341, 136.376013, 140.927086, 131.299374, 138.045528, 129.608033, 135.871644, 138.918647, 131.43324, 133.826252, 126.668016, 135.507481, nan, 130.115738, 139.347635, 136.138064, 132.554064, 138.407784, 139.819213, 134.242091, 139.446921, 133.863619, 137.269346, nan, 135.505446, 140.102154, 131.573293, 138.611489]",0.7362338806433688,0.05744339077548284,0.8565342486851198,"[0.7143469926102517, 0.05772500033683188, 0.8581577787941278, 0.9999999999999998]"
Jordan,[31.24],[36.51],0.7483058614024837,0.050936106055314984,0.9437669537472524,"[0.7438264385866855, 0.05808961314387119, 0.938527032894983, 0.9999999999999998]"
Kazakhstan,[48.0196],[66.9237],0.7257387257898172,0.053200481432717175,0.9057106227680739,"[0.7313003295608252, 0.051941463463895624, 0.9083161378852184, 0.9999999999999998]"
